职位,学历,经验,技能列表,薪资,公司,公司人数,"城市,",区域
python高级开发工程师,本科,1-3年,"['Python', 'C++', 'C', 'Tornado', 'Pandas', 'PyTorch', 'MySQL', 'MongoDB', 'PostgreSQL', '架构设计经验', '爬虫经验', '机器学习经验']",4-9K,五竹农业,0-20人,徐州,
爬虫,本科,1-3年,['python'],6-11K·13薪,江苏艾迪信息科技...,100-499人,徐州,
算法工程师,本科,3-5年,"['C/C++', 'Java', '机器学习', '运筹优化算法', '深度学习', '大模型算法', '算法工程化经验', 'Python']",15-25K,河南海融软件有限公司,100-499人,徐州,贾汪区
软件开发工程师（C/C++/ Python/Js/Java）,本科,经验不限,"['Python', 'Linux', 'Java', 'C', 'C++']",15-30K·15薪,华为,10000人以上,徐州,邳州市
大模型算法,本科,,"['机器学习', '大模型算法', '图像算法', '自然语言处理算法', '多模态算法', 'Python', '大数据处理框架(Spark/Hadoop/Hive)', 'SQL', '算法工程化经验', '优秀开源项目经历']",80-120元/天,圣图优科技,0-20人,徐州,泉山区
ROS开发工程师,本科,3-5年,"['运动控制算法', 'C++']",15-25K,和瑞鑫,20-99人,徐州,铜山区
互联网产品经理,本科,3-5年,"['网络安全产品', 'B端产品', '数据产品', '中后台产品', 'G端产品/政务产品', '云计算产品', 'ERP产品/软件产品', '社区产品', '商业产品', '物联网产品']",8-9K,江苏微雀,100-499人,徐州,鼓楼区
少儿编程老师,本科,1-3年,['责任心，相关工作经验'],100-300元/周,徐州经济技术开发...,0-20人,徐州,铜山区
AI工程师,本科,3-5年,"['C/C++', 'C++', '机器学习', '图像算法', 'TensorFLow/PyTorch', 'Python', 'SQL']",8-10K,科瑞矿业,20-99人,徐州,铜山区
数据分析工程师,硕士,1-3年,['Python'],9-13K,徐州仁慈医院,1000-9999人,徐州,鼓楼区
高级php工程师,大专,3-5年,"['PHP', '计算机相关专业', 'PHP开发经验', '服务端开发经验']",7-12K,缘众网络科技,0-20人,徐州,鼓楼区
系统运维工程师,本科,5-10年,"['Golang', 'Docker', 'Kubernetes']",6-10K,海康博瑞,100-499人,徐州,云龙区
感知算法与软件,硕士,3-5年,"['融合感知算法', 'C/C++', 'Python', '算法工程化经验', '国企']",20-35K,某大型已上市机械设备公司,10000人以上,徐州,
软件测试（徐工合作项目）,本科,5-10年,"['自动化测试', 'Fiddler', '掌握软件测试理论和流程', '软件开发经验', '自动化测试经验']",15-25K,某大型计算机及周边设备制造商上市公司,10000人以上,徐州,
爬虫python,大专,3-5年,"['爬虫', 'Python', '计算机相关专业', '爬虫经验']",9-12K,盛斗士,500-999人,徐州,鼓楼区
少儿编程老师（邳州）,本科,1-3年,"['教育培训', '线下授课']",4-7K,丁丁教育,20-99人,徐州,
AI算法工程师,本科,3-5年,"['深度学习', '机器学习', '图像算法', 'Python', '算法工程化经验', '参加算法相关竞赛/获奖']",15-20K,鼎驰科技,100-499人,徐州,云龙区
python开发工程师,本科,3-5年,"['Python', 'Java', 'Flask', 'Pandas', 'Docker', 'MySQL', 'Redis', '机器学习经验']",6-10K,硕博科技,20-99人,徐州,铜山区
python工程师,本科,1-3年,"['PyTorch', 'Django', 'MySQL', '架构设计经验', 'Python']",4-8K,云鏖科技,20-99人,徐州,泉山区
AI算法工程师（国企总部）,本科,3-5年,"['深度学习', '机器学习', '图像算法', 'C/C++', 'Python']",15-25K·14薪,某大型知名重工上市公司,10000人以上,徐州,
用户运营,本科,1-3年,"['精细化运营策略设计', '社群搭建与维护', '社群运营经验', '数据分析能力好', '用户同理心强']",6-9K,马力多科技,20-99人,徐州,云龙区
鼓楼区七号隆江餐饮店招聘餐饮学徒,学历不限,经验不限,"['无经验', '接受无厨房工作经验', '中餐']",2-3K,鼓楼区七号隆江餐饮店,0-20人,徐州,鼓楼区
实施工程师,本科,经验不限,"['系统建设/运维经验', 'ERP', '信息系统项目管理师', 'MySQL/Oracle', 'ERP/OA/CRM实施维护经验', 'MES', 'Python/Shell', 'Oracle', '计算机/网络系统工程师', 'OMS/WMS/TMS实施维护经验']",7-12K,元工国际,100-499人,徐州,云龙区
兼职少儿编程老师,本科,经验不限,"['计算机专业', '少儿编程']",100-300元/时,巨量之芯,0-20人,徐州,泉山区
机器学习,本科,经验不限,"['C++', 'C#', 'Python', '算法设计', '深度学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch']",3-8K,牛犊游戏,20-99人,徐州,云龙区
感知算法与软件工程师,硕士,3-5年,"['融合感知算法', 'C/C++', 'Python']",25-35K,某大型已上市机械设备公司,10000人以上,徐州,
量化交易,大专,3-5年,"['量化交易', '股指期货', '商品期货']",12-24K,永东机械,100-499人,徐州,鼓楼区
少儿编程兼职老师,大专,1-3年,"['小班教学', '培训机构', '线下教育', '线上教育']",6-8K,天琥教育,1000-9999人,徐州,泉山区
机器人教师,本科,1-3年,"['线下教育', '小班教学（3-25人）', '学前儿童/小学生', '大型教育机构经验', '教育学专业背景', '幼儿教育工作经验', '全职兼职均可', '教师', '线下授课', '五险', '课程顾问', '销售']",3-8K,小驴科技,20-99人,徐州,
渗透工程师,大专,经验不限,"['数据号', '漏洞挖掘', '代码审计']",3-8K,宿迁云天网络安全技术,20-99人,徐州,泉山区
大数据开发实习生,大专,,['接受无数据开发经验'],40-90元/天,素拓,20-99人,徐州,泉山区
数据分析工程师,本科,5-10年,['数据分析/挖掘经验'],20-40K,某大型机械设备公司,500-999人,徐州,
软件工程师精通RPA系统或Python者优先,大专,1-3年,"['Python', 'PyTorch', 'MySQL', 'Redis', 'Oracle', '运维开发经验']",5-10K,徐州百嘉购电子商务,20-99人,徐州,泉山区
AI视频识别工程师,本科,3-5年,"['机器学习', '目标检测', '图像生成', '图像搜索', 'Python', 'Java', '优秀开源项目经历', '五险，双休，生日福利，餐补']",8-13K,朗福莱信息科技,20-99人,徐州,泉山区
python自动化开发,大专,1-3年,"['Python', '爬虫经验', '运维开发经验', 'RPA自动化']",5-8K·14薪,徐州屿江拓供应链管理,100-499人,徐州,贾汪区
感知工程师,本科,3-5年,"['融合感知算法', 'C/C++']",20-25K·14薪,某大型机械设备公司,1000-9999人,徐州,
Python,学历不限,1-3年,"['网络爬虫技术', '数据挖掘', '大数据']",4-5K,江苏新狮科技,0-20人,徐州,泉山区
机器人课程教师,学历不限,经验不限,"['线下教育', '不坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '销售经验', '全职兼职均可']",4-9K,真理软件科技,0-20人,徐州,
编程老师,大专,1-3年,"['培训机构', '线下教育', '坐班', '不坐班', '小班教学（3-25人）', '中学生', '学前儿童/小学生', '特长兴趣类', '职业与技能培训类', '人工智能类', 'IT培训', '普通话发音标准', '大型教育机构经验', '心理学专业背景', '教育学专业背景']",4-8K,睢宁启迪科技有限公司,0-20人,徐州,
Python,本科,,"['量化交易开发经验', 'Python']",200-300元/天,宿迁妙倍新材料,0-20人,徐州,新沂市
少儿编程教师,大专,1-3年,"['小学教育', '线下授课', 'scratch', 'python', '乐高机器人']",4-7K,斯童年,0-20人,徐州,贾汪区
乐高机器人编程老师,学历不限,1-3年,['五险'],4-7K,泉山区吉祥海教育...,0-20人,徐州,贾汪区
Golang,学历不限,3-5年,"['Golang', 'Golang服务端开发经验']",10-14K,徐州雷动网络科技,20-99人,徐州,沛县
渗透测试和安全运维工程师,本科,1-3年,"['计算机相关专业', '渗透测试经验']",7-12K,讯安,20-99人,徐州,泉山区
网站编辑,大专,经验不限,"['网站编辑', '编辑', '公众号运营', '网站运营', '内容运营', '新媒体运营', '教育类', '科技类']",3-4K,蓝佳网络科技,20-99人,徐州,鼓楼区
软件工程师,大专,1-3年,"['Python', 'PHP', '其他', 'PyTorch', 'Redis', 'Oracle', 'PostgreSQL', '架构设计经验']",5-10K,屹百分,20-99人,徐州,泉山区
Python编程老师,大专,1-3年,"['教师', '小学教育', '全职', '教育培训', '培训机构', '理科', '编程', '初中教育']",5-8K,博辅教育,20-99人,徐州,云龙区
风控策略,本科,3-5年,"['SQL', 'SAS', 'Python', 'Spark', 'R']",20-40K,某大型已上市机械设备公司,10000人以上,徐州,
算法工程师（数据科学、视觉、自然语言）,本科,5-10年,"['深度学习', '机器学习', '图像算法', '自然语言处理算法', 'Python', '算法工程化经验']",10-15K,中矿安华,100-499人,徐州,铜山区
slam算法工程师,本科,1-3年,"['运动控制算法', '算法设计', 'C++', 'Python', '激光雷达SLAM算法']",7-12K,威卡电子控制技术...,500-999人,徐州,贾汪区
少儿编程老师,大专,1年以内,"['少儿编程', '乐高教师', 'scratch', 'python', 'c++', '逻辑思维']",1500-4000元/月,铜山区竹韵艺术培...,100-499人,徐州,铜山区
机器学习算法（合伙人）,学历不限,经验不限,"['深度学习', '数据挖掘', 'C/C++', 'Python', '团队管理经验']",10000-15000元/月,徐州菁日智能科技,0-20人,徐州,
机器人少儿编程老师,本科,1-3年,[],5-10K,树恩教育,500-999人,徐州,云龙区
项目实施工程师,本科,经验不限,"['网络运维', '系统运维', '计算机相关专业']",5-6K·13薪,数字政通,1000-9999人,徐州,云龙区
资深软件工程师,学历不限,1-3年,"['Java', 'C', 'C++', 'Golang', 'Python', 'Spring', 'SpringCloud', 'Dubbo', 'Tomcat', 'Elasticsearch', 'MySQL', 'Oracle', 'SQL Server', 'Hadoop', '架构设计经验', '云计算经验', 'ERP开发经验', 'MES开发经验']",6-8K,江苏三维博达,20-99人,徐州,云龙区
少儿编程老师,本科,1-3年,"['C++', 'python', 'scratch', 'Junior']",4-8K,鼓楼区阿童木机器...,0-20人,徐州,泉山区
云平台运维工程师,本科,1-3年,"['网络运维', '系统运维', 'MySQL/Oracle', 'Docker', 'Nginx', '计算机相关专业', '通信相关专业', '运维经验']",4-9K·13薪,汉唐网络,20-99人,徐州,泉山区
无人系统运维工程师,本科,5-10年,"['MySQL', 'Redis', 'Python/Shell', 'Kubernetes', 'Docker', '运维开发经验', '大数据运维经验', 'Linux', 'Python']",30-60K,某大型工程机械上市公司,10000人以上,徐州,
GIS开发工程师,本科,1-3年,"['Java', 'C++', 'MySQL', 'Cesium', 'WebGL', 'ArCSDE', 'HTML', 'CSS']",8-12K,徐州元智,20-99人,徐州,泉山区
大模型算法,学历不限,3-5年,"['C/C++', 'Java', '机器学习', '深度学习', '大模型算法', '多模态算法', '强化学习', '模型加速/性能优化', 'Python']",30-50K·13薪,恒发矿用,20-99人,徐州,铜山区
软件工程师,本科,3-5年,"['C++', 'Python', 'Java', 'QT', 'Linux开发/部署经验', '嵌入式软件经验', '团队管理经验', 'Java', 'Python', 'C#', 'SQL Server', 'MySQL', 'Spring', 'SpringCloud', 'MyBatis']",8-10K,能工机电,0-20人,徐州,泉山区
华为23届留学秋招-软件开发工程师,本科,在校/应届,"['C++', 'C语言', 'Python', 'Java', '嵌入式', '操作系统', '计算机网络', '数据开发']",20-30K·16薪,华为技术有限公司,10000人以上,徐州,泉山区
GIS软件工程师,本科,3-5年,"['ArcGIS', 'Java', 'Leaflet', 'PostgreSQL', 'Vue', 'HTML', 'WebGIS开发经验', 'React', '地图/导航开发经验', '地理信息/测绘工程相关专业', 'PostGIS', 'MySQL', 'GeoServer', 'SuperMap', 'Mapbox', 'Python']",9-14K,徐州华博展览,20-99人,徐州,云龙区
.net高级开发工程师,硕士,5-10年,['Java'],11-20K,龙驰,20-99人,徐州,云龙区
软件项目经理,本科,10年以上,"['计算机相关专业', '中大型软件项目管理经验', '团队管理经验']",7-12K·13薪,江苏本初,0-20人,徐州,鼓楼区
资深全栈工程师 - 全职远程,本科,5-10年,"['TypeScript', 'JavaScript', 'Vue', 'PHP', '全栈侧重前端', 'Node.js', '英语读写能力良好', 'Python']",20-30K·15薪,标博,20-99人,徐州,云龙区
光学工程师,本科,3-5年,"['光谱仪', '非成像光学', '光学检测系统开发', '几何光学设计', '透镜', '杂散光']",20-30K,某小型电子/半导体/集成电路公司,0-20人,徐州,
高级测试工程师,大专,3-5年,"['自动化测试', '接口测试', '黑盒测试', '接口自动化测试', 'Python', 'Java', 'SQL', 'Linux']",7-12K,智先生,20-99人,徐州,云龙区
全栈工程师,大专,1-3年,"['全栈无侧重', 'JavaScript', 'TypeScript', 'Vue', 'Java', 'PHP', 'Python', 'Django/Flask', 'MySQL/Redis/MongoDB', '全栈项目经验', '前端开发经验', '后端开发经验']",7-12K,赛菲迪科技,0-20人,徐州,贾汪区
感知工程师,本科,5-10年,"['深度学习', '规控算法', 'C/C++', '算法工程化经验']",20-35K,徐工矿业机械有限公司,1000-9999人,徐州,
计算机视觉算法工程师（YOLO及目标检测方向,本科,1-3年,"['大模型算法', '深度学习', '图像算法', 'C/C++', 'Python', '算法工程化经验']",6-8K,晋铁科技集团,20-99人,徐州,铜山区
风险策略,本科,经验不限,['风险策略'],30-40K,某大型重工设备上市公司,10000人以上,徐州,
it项目专员,本科,3-5年,"['软件/信息技术项目', '计算机相关专业', '软件研发经验']",12-16K,盛世博明集团,20-99人,徐州,铜山区
乐高学龄老师,大专,经验不限,"['教育培训', '小学教育', '线下授课']",4-9K,徐州乐创教育,100-499人,徐州,新沂市
RPA专员双休,本科,1年以内,"['MySQL', 'MongoDB', 'Oracle', 'Python']",5-7K,奥鹿体育,100-499人,徐州,鼓楼区
信息化工程师,本科,3-5年,"['计算机/通信相关专业', 'IT技术支持经验']",10-12K,工润实业,100-499人,徐州,云龙区
测试工程师,本科,3-5年,"['功能测试', '性能测试', 'Java', 'C++', 'MySQL', '计算机相关专业', '测试工作经验']",9-14K·13薪,扬州达策,0-20人,徐州,云龙区
AI视觉算法工程师,本科,3-5年,"['深度学习', '图像算法', 'C/C++', 'Python', 'Shell', 'SQL', 'MATLAB', '优秀开源项目经历', '算法工程化经验']",10-15K,赛立科技,20-99人,徐州,贾汪区
Java 软件工程师,本科,3-5年,"['Java', 'Python', 'SpringCloud', 'Nginx', 'Docker', 'MyBatis', 'MySQL', 'SQL Server', '微服务经验', '大数据经验']",6-8K,国顺智能,20-99人,徐州,云龙区
安卓高级开发工程师,本科,5-10年,"['Java', 'Android开发经验', 'C++', '通信相关专业', '架构设计/优化', '数据结构/算法能力', 'Android客户端产品研发', '架构设计能力', '研发流程优化', '多线程编程能力', '计算机/软件工程相关专业']",15-20K,开普勒导航技术研究院,20-99人,徐州,泉山区
运维工程师,学历不限,1-3年,"['MySQL/Oracle', 'Redis', 'Nginx', '计算机相关专业', '运维经验', '运维开发经验']",5-8K,美迅科技,20-99人,徐州,泉山区
高级计算机视觉算法工程师,本科,1-3年,"['图像算法', 'C/C++', 'Python', '算法工程化经验']",30-35K,某大型铁路公司,100-499人,徐州,
软件工程师,本科,1-3年,"['Python', '其他', 'PyTorch', '架构设计经验', 'Linux开发/部署经验', '分布式经验']",5-10K·15薪,擎网信息,0-20人,徐州,云龙区
AI设计师/方案/工装/装修设计,本科,经验不限,"['SketchUp', '独立完成施工图', 'PS', 'AutoCAD', '餐厅', 'AI', '良好的方案沟通能力', '熟悉装修材料', '3Ds MAX', '休闲娱乐', '学习能力强，性格开朗，有较高的审美能力', '别墅', '熟悉施工工艺', '购物商场', '酒店', '独立完成效果图']",4-9K,星陆策划,20-99人,徐州,云龙区
性能工程师,本科,1-3年,"['性能测试经验', '测试工作经验']",20-24K,某大型汽车研发公司,100-499人,徐州,
高级软件开发工程师,硕士,5-10年,['高级软件工程师'],15-25K,佳智信息,20-99人,徐州,云龙区
AI算法与软件（调度）,本科,3-5年,[],20-21K,某大型电气机械器材公司,10000人以上,徐州,
测试工程师,硕士,1-3年,"['Python', 'C++', '计算机相关专业', '自动化测试经验', '系统测试', '集成测试']",8-12K,徐州清智生物科技,20-99人,徐州,泉山区
数据开发和数据服务工程师,本科,经验不限,"['Java', 'Shell', 'Spark', 'SQL', 'Python']",7-11K,中电国泰,1000-9999人,徐州,云龙区
测试工程师,本科,1-3年,"['Java', 'Python', 'SQL', 'Linux', '自动化测试', '性能测试', '接口测试', '软件测试']",4-6K,徐州宝典,100-499人,徐州,邳州市
